Gm#,Day_Of_Week,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Monday, 4/6/2015,boxscore,BOS,@,PHI,W,8,0,,Jan-00,1,Tied,Buchholz,Hamels,,3:01,D,45549,+,
2,Wednesday, 4/8/2015,boxscore,BOS,@,PHI,L,2,4,,1-Jan,2,0.5,Harang,Porcello,Papelbon,2:54,N,26465,-,
3,Thursday, 4/9/2015,boxscore,BOS,@,PHI,W,6,2,,1-Feb,1,Tied,Masterson,Buchanan,,3:08,N,23418,+,
4,Friday, 4/10/2015,boxscore,BOS,@,NYY,W,6,5,19,1-Mar,1,Tied,Wright,Rogers,,6:49,N,41292,++,
5,Saturday, 4/11/2015,boxscore,BOS,@,NYY,W,8,4,,1-Apr,1,up 1.0,Kelly,Warren,,3:13,D,46678,+++,
6,Sunday, 4/12/2015,boxscore,BOS,@,NYY,L,4,14,,2-Apr,1,Tied,Tanaka,Buchholz,,3:24,N,43019,-,
7,Monday, 4/13/2015,boxscore,BOS,,WSN,W,9,4,,2-May,1,up 1.0,Porcello,Zimmermann,,3:01,D,37203,+,
8,Tuesday, 4/14/2015,boxscore,BOS,,WSN,W,8,7,,2-Jun,1,up 1.0,Mujica,Treinen,Uehara,3:23,N,35258,++,
9,Wednesday, 4/15/2015,boxscore,BOS,,WSN,L,5,10,,3-Jun,1,up 1.0,Gonzalez,Miley,,3:08,D,33493,-,
10,Friday, 4/17/2015,boxscore,BOS,,BAL,W-wo,3,2,,3-Jul,1,up 1.5,Uehara,Matusz,,3:13,N,34341,+,
11,Saturday, 4/18/2015,boxscore,BOS,,BAL,L,1,4,,4-Jul,1,up 1.0,Tillman,Buchholz,Britton,3:24,D,37655,-,
12,Sunday, 4/19/2015,boxscore,BOS,,BAL,L,3,8,,5-Jul,1,Tied,Gonzalez,Porcello,,3:14,D,37761,--,
13,Monday, 4/20/2015,boxscore,BOS,,BAL,W,7,1,7,5-Aug,1,up 1.0,Masterson,Chen,,2:21,D,36829,+,
14,Tuesday, 4/21/2015,boxscore,BOS,@,TBR,W,1,0,,5-Sep,1,up 2.0,Miley,Archer,Uehara,2:48,N,14307,++,
