Gm#,Day_of_Week,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Monday,4/3/2017,boxscore,BOS,,PIT,W,5,3,,Jan-00,1,Tied,Porcello,Cole,Kimbrel,3:03,D,36594,+,
2,Wednesday,4/5/2017,boxscore,BOS,,PIT,W-wo,3,0,12,Feb-00,1,Tied,Kelly,Bastardo,,3:53,N,36137,++,
3,Friday,4/7/2017,boxscore,BOS,@,DET,L,5,6,,1-Feb,2,1,Rodriguez,Hembree,,3:35,D,45013,-,
4,Saturday,4/8/2017,boxscore,BOS,@,DET,L,1,4,,2-Feb,3,2,Zimmermann,Rodriguez,Wilson,3:05,D,32622,--,
5,Sunday,4/9/2017,boxscore,BOS,@,DET,W,7,5,,2-Mar,3,1,Barnes,Rondon,Kimbrel,3:27,D,33662,+,
6,Monday,4/10/2017,boxscore,BOS,@,DET,L,1,2,,3-Mar,3,1.5,Wilson,Sale,Rodriguez,2:44,D,24672,-,
7,Tuesday,4/11/2017,boxscore,BOS,,BAL,W,8,1,,3-Apr,3,0.5,Pomeranz,Bundy,,3:15,N,37497,+,
8,Wednesday,4/12/2017,boxscore,BOS,,BAL,L,5,12,,4-Apr,3,1.5,Givens,Wright,,3:46,N,32211,-,
9,Thursday,4/13/2017,boxscore,BOS,,PIT,W,4,3,,4-May,2,1.5,Barnes,Nicasio,Kimbrel,3:15,D,32400,+,
10,Friday,4/14/2017,boxscore,BOS,,TBR,L,5,10,,5-May,4,2.5,Archer,Porcello,,3:37,N,36813,-,
11,Saturday,4/15/2017,boxscore,BOS,,TBR,W,2,1,,5-Jun,3,1.5,Sale,Hunter,Kimbrel,2:54,D,36686,+,
12,Sunday,4/16/2017,boxscore,BOS,,TBR,W,7,5,,5-Jul,3,1.5,Kelly,Farquhar,Kimbrel,3:46,D,36209,++,
13,Monday,4/17/2017,boxscore,BOS,,TBR,W,4,3,,5-Aug,3,1,Wright,Snell,Kimbrel,3:07,D,37318,+++,
14,Tuesday,4/18/2017,boxscore,BOS,@,TOR,W,8,7,,5-Sep,1,Tied,Johnson,Stroman,,3:48,N,29281,++++,
15,Wednesday,4/19/2017,boxscore,BOS,@,TOR,L,0,3,,6-Sep,3,1,Liriano,Porcello,Osuna,2:45,N,30842,-,
16,Thursday,4/20/2017,boxscore,BOS,@,TOR,W,4,1,10,6-Oct,3,1,Kimbrel,Grilli,,3:07,D,44283,+,
17,Friday,4/21/2017,boxscore,BOS,@,BAL,L,0,2,,7-Oct,3,2,Bundy,Pomeranz,Brach,3:20,N,34442,-,
18,Saturday,4/22/2017,boxscore,BOS,@,BAL,L,2,4,,8-Oct,3,3,Aquino,Wright,O'Day,2:47,N,35457,--,
19,Sunday,4/23/2017,boxscore,BOS,@,BAL,W,6,2,,8-Nov,3,2,Rodriguez,Gausman,Kimbrel,3:34,D,35522,+,
20,Wednesday,4/26/2017,boxscore,BOS,,NYY,L,1,3,,9-Nov,3,3,Severino,Porcello,Chapman,3:16,N,32072,-,
